asn_name,country,asn_num,count
"CHINANET-BACKBONE No.31,Jin-rong Street",CN,4134,202024
"CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone",CN,23650,186274
"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN,4837,122192
"HINET Data Communication Business Group",TW,3462,48492
OVH,FR,16276,30865
"VECTANT ARTERIA Networks Corporation",JP,2519,27481
"DIGITALOCEAN-ASN - DigitalOcean, LLC",US,14061,26965
"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation",US,8075,20370
RMINJINERING,RU,49877,16710
AS38994,NL,38994,14482
"XMGBNET Golden-Bridge Netcom communication Co.,LTD.",CN,45058,12418
"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN,37963,12045
"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN,45090,10804
"CNIX-AP China Networks Inter-Exchange",CN,4847,10000
"PONYNET - FranTech Solutions",US,53667,9317
ITTI,US,44685,7960
"CHINA169-BJ China Unicom Beijing Province Network",CN,4808,7835
AS12876,FR,12876,7262
AS209605,LT,209605,6586
CONTABO,DE,51167,6261
"BBIL-AP BHARTI Airtel Ltd.",IN,9498,6207
"TTSL-MEISISP Tata Teleservices ISP AS",IN,45820,6116
"CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC",US,209,6077
MYLOC-AS,DE,24961,4316
ESTROWEB,NL,208666,4232
NCNET-AS,RU,42610,3476
"CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd.",CN,38365,3235
"ERX-CERNET-BKB China Education and Research Network Center",CN,4538,2981
PINDC-AS,RU,34665,2787
HOSTKEY-AS,NL,57043,2665
"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business",US,701,2547
"GIGANET-HU GigaNet Internet Service Provider Co",HU,42864,2447
"GOOGLE - Google LLC",US,15169,2412
"HOSTWINDS - Hostwinds LLC.",US,54290,2177
"VNPT-AS-VN VNPT Corp",VN,45899,2149
NFORCE,NL,43350,2026
"Alestra, S. de R.L. de C.V.",MX,11172,1996
ESTROWEB,NL,199264,1957
"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP",VN,135905,1932
SQUITTER-NETWORKS,NL,213371,1808
"KIXS-AS-KR Korea Telecom",KR,4766,1787
"AS-COLOCROSSING - ColoCrossing",US,36352,1557
HETZNER-AS,DE,24940,1521
ROSTELECOM-AS,RU,12389,1265
"Restel S.A.",AR,61452,1228
"Not routed",None,0,1225
"NETARTUR INTERNET SERVICE LTDA - ME",BR,262717,1167
globacom-as,NG,37148,1081
AS204490,RU,204490,1055
"CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou",CN,133774,1018
"TROPICALNET TELECOM",BR,52596,989
"NETCUP-AS netcup GmbH",DE,197540,987
"HKTIMS-AP PCCW Limited",HK,4760,982
SELECTEL,RU,49505,934
"CHINANET-SH-AP China Telecom (Group)",CN,4812,921
"Telefonica de Argentina",AR,22927,916
ZWIEBELFREUNDE,AT,60729,906
SELECTEL-MSK,RU,50340,841
"UCOM-AS -----FiberNet",RU,48817,771
AS202425,SC,202425,755
"SKB-AS SK Broadband Co Ltd",KR,9318,706
"Alcantara Net LTDA",BR,264942,696
DATACENTER,RO,35478,694
"LEWTELNET Oskar-von-Miller-Str. 1b",DE,12886,625
"AMAZON-02 - Amazon.com, Inc.",US,16509,617
"LGI-UPC formerly known as UPC Broadband Holding B.V.",AT,6830,583
ASMK,NL,208294,574
"VELIANET-AS velia.net Internetdienste GmbH",DE,29066,571
"VIETTEL-AS-VN Viettel Corporation",VN,24086,565
"CORBINA-AS OJSC ""Vimpelcom""",RU,8402,541
"WEBNX - WebNX, Inc.",US,18450,538
"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN,9808,520
"VIETEL-AS-AP Viettel Group",VN,7552,511
"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN,132203,509
"COMCAST-7922 - Comcast Cable Communications, LLC",US,7922,479
"ORACLE-BMC-31898 - Oracle Corporation",US,31898,476
"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN,23724,472
"CALYX-AS - The Calyx Institute",US,4224,470
"IT7NET - IT7 Networks Inc",CA,25820,464
AMARUTU-TECHNOLOGY,NL,206264,457
SERVERIUS-AS,NL,50673,452
"AS-CHOOPA - Choopa, LLC",US,20473,416
"ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.",US,22773,381
"CHINATELECOM-JIANGSU-YANGZHOU-IDC CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhouJiangsu Province, P.R.China.",CN,137697,365
"SHENTEL - Shentel Communications, LLC",US,4922,362
AS268048,BR,268048,348
CNHAB,SE,42695,343
"BLUECLOUD Shanghai Blue Cloud Technology Co.,Ltd",CN,58593,341
"EMERALD-ONION - Emerald Onion",US,396507,334
"CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP",EC,28006,331
"IP-EEND-AS IP-EEND BV",NL,1101,329
"LGDACOM LG DACOM Corporation",KR,3786,328
"Flycom Comunicaciones",CO,26619,321
"SHAW - Shaw Communications Inc.",CA,6327,317
ARUBA-ASN,IT,31034,314
"BACOM - Bell Canada",CA,577,314
"TELENOR-NEXTEL Telenor Norge AS",NO,2119,309
"TEAM-HOST AS",RU,202984,299
"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US,26496,283
"RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC",US,11351,271
"ASN-WIND IUNET",EU,1267,268
CDN77,GB,60068,264
"CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen",CN,133775,255
"ATT-INTERNET4 - AT&T Services, Inc.",US,7018,253
"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.",US,46562,252
"SE-A3 http://www.a3.se/",SE,45011,247
TTNET,TR,47331,245
"INTERQ GMO Internet,Inc",JP,7506,244
Afrihost,ZA,37611,242
"COMCAST-7015 - Comcast Cable Communications, LLC",US,7015,241
AS3215,FR,3215,238
"Uninet S.A. de C.V.",MX,8151,238
"BRASIL DIGITAL SERVIÇOS DE INFORMATICA E COMERCIO",BR,263661,237
"SPECTRAIP SpectraIP B.V.",NL,62068,237
TELE2,EU,1257,236
"CLARO S.A.",BR,28573,234
VERDINA,BZ,201133,233
"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID,17974,232
GGAMAUR,CH,21232,232
"Telmex Colombia S.A.",CO,14080,230
TELESERVICE,SE,34244,227
ETR-AS,GB,62203,225
"HOSTPALACEIN-AS HostPalace Web Solution PVT LTD",IN,134512,220
PROXAD,FR,12322,212
"CHINANET-IDC-GD China Telecom (Group)",CN,4816,211
"BAHNHOF http://www.bahnhof.net/",SE,8473,203
"FPT-AS-AP The Corporation for Financing & Promoting Technology",VN,18403,202
ASN-IBSNAZ,IT,3269,200
"Prima S.A.",AR,10481,198
LEASEWEB-DE-FRA-10,DE,28753,198
"UHGL-AS-AP UCloud (HK) Holdings Group Limited",HK,135377,197
"TELEFÔNICA BRASIL S.A",BR,27699,194
"HUTCHISON-AS-AP Hutchison Global Communications",HK,9304,193
AS206638,UA,206638,191
"INT-PDN-STE-AS STE PDN Internal AS",SY,29256,191
"SINGNET SingNet",SG,3758,190
"Telmex Colombia S.A.",CO,10620,187
"TMNET-AS-AP TM Net, Internet Service Provider",MY,4788,187
FASTWEB,IT,12874,186
"UNIFIEDLAYER-AS-1 - Unified Layer",US,46606,181
AS202468,IR,202468,178
NETERRA-AS,BG,34224,175
"CT-GUANGZHOU-IDC CHINANET Guangdong province network",CN,58466,175
TELEFONICA_DE_ESPANA,ES,3352,174
"CHINATELECOM-ANHUI-CHUZHOU-MAN ChuZhou",CN,137695,173
"TR Servicos de Telecomunicacoes LTDA-ME",BR,266385,171
"EMIRATES-INTERNET Emirates Internet",AE,5384,170
"DTAG Internet service provider operations",DE,3320,168
"TELKOMNET-AS-AP PT Telekomunikasi Indonesia",ID,7713,167
"CHINATELECOM-CTCLOUD Cloud Computing Corporation",CN,58519,162
"INTERNETPRIMUS-AS-AP Primus Telecommunications",AU,9443,162
ZUMY,NL,208346,160
"TI-AS Moscow, Russia",RU,12714,159
